framework,item_id,score,confidence,evidence_file,notes,source_run
ollama,D1.2,INSECURE,HIGH,findings_v8/ollama/doc_evidence.md,instructs OLLAMA_HOST=0.0.0.0 to expose with no exposure-risk warning | src: docs.ollama.com/faq (2026-06-02),runs_v8
ollama,D2.2,WARNS,HIGH,findings_v8/ollama/doc_evidence.md,NO native auth; FAQ points only to reverse proxy (Nginx)/tunnels | src: docs.ollama.com/faq (2026-06-02),runs_v8
ollama,D7.1,INSECURE,HIGH,findings_v8/ollama/doc_evidence.md,"FAQ gives OLLAMA_HOST config with no security caveat, no auth mention | src: docs.ollama.com/faq (2026-06-02)",runs_v8
vllm,D1.2,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,Security page warns all-interface binding (TCPStore) is insecure by default + recommends firewall/isolated network | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02),runs_v8
vllm,D2.2,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,"native --api-key / VLLM_API_KEY exists but OFF by default; docs caution it protects only /v1, other endpoints stay unauth | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02)",runs_v8
vllm,D7.1,WARNS,HIGH,findings_v8/vllm/doc_evidence.md,"dedicated Security page warns 'insecure by default' + isolated-network/firewall + --api-key caveat, but the serving quickstart itself does not warn (separate page) | src: docs.vllm.ai/en/latest/usage/security.html (2026-06-02)",runs_v8
vllm,D7.2,INSECURE,HIGH,runs_v7/vllm/probes/D1.1.txt,"gap score = 7: 7 D1-D6 items INSECURE by default despite a secure option (D1.1, D2.1, D3.1, D4.1, D4.2, D5.3, D6.1)",runs_v8
llamacpp,D1.2,WARNS,HIGH,findings_v8/llamacpp/doc_evidence.md,docs warn via SECURITY.md ('Untrusted environments or networks': do not expose llama-server to untrusted networks) — separate page off the quickstart | src: github.com/ggml-org/llama.cpp SECURITY.md (2026-06-02),runs_v8
llamacpp,D2.2,WARNS,HIGH,findings_v8/llamacpp/doc_evidence.md,native --api-key exists (default: none/off) | src: github.com/ggml-org/llama.cpp tools/server/README.md (2026-06-02),runs_v8
llamacpp,D7.1,WARNS,HIGH,findings_v8/llamacpp/doc_evidence.md,docs warn via SECURITY.md ('Untrusted environments or networks': do not expose llama-server to untrusted networks) — separate page off the quickstart | src: github.com/ggml-org/llama.cpp SECURITY.md (2026-06-02),runs_v8
