framework,item_id,score,confidence,evidence_file,notes,source_run
ollama,D1.1,INSECURE,HIGH,runs_v7/ollama/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
ollama,D1.2,INSECURE,LOW,runs_v7/ollama/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ollama/ollama docs/docker.md,runs_v7
ollama,D2.2,WARNS,LOW,runs_v7/ollama/probes/D1.1.txt,NO native auth — reverse proxy required (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ollama/ollama docs/docker.md,runs_v7
ollama,D5.1,SECURE,LOW,runs_v7/ollama/probes/D5.1.txt,user 'template' param is Go text/template — sandboxed (no code/file/net exec); benign probe ({{print 7777777}}) showed NO server-side code execution,runs_v7
ollama,D7.1,INSECURE,LOW,runs_v7/ollama/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ollama/ollama docs/docker.md",runs_v7
ollama,D7.2,INSECURE,HIGH,runs_v7/ollama/probes/D1.1.txt,"gap score = 8: 8 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D3.2, D4.2, D5.3, D6.1)",runs_v7
vllm,D1.1,INSECURE,HIGH,runs_v7/vllm/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
vllm,D1.2,INSECURE,LOW,runs_v7/vllm/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.vllm.ai,runs_v7
vllm,D2.2,WARNS,LOW,runs_v7/vllm/probes/D1.1.txt,--api-key exists but OFF by default (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.vllm.ai,runs_v7
vllm,D3.2,N_A,HIGH,runs_v7/vllm/probes/D1.1.txt,no model pull/load endpoint by default (model fixed at launch),runs_v7
vllm,D5.1,SECURE,LOW,runs_v7/vllm/probes/D5.1.txt,"request chat_template field not honored as a render surface (400, validation error); benign SSTI not evaluated",runs_v7
vllm,D7.1,INSECURE,LOW,runs_v7/vllm/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.vllm.ai",runs_v7
vllm,D7.2,INSECURE,HIGH,runs_v7/vllm/probes/D1.1.txt,"gap score = 8: 8 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D4.1, D4.2, D5.3, D6.1)",runs_v7
llamacpp,D1.1,INSECURE,HIGH,runs_v7/llamacpp/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
llamacpp,D1.2,INSECURE,LOW,runs_v7/llamacpp/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ggml-org/llama.cpp docs,runs_v7
llamacpp,D2.2,WARNS,LOW,runs_v7/llamacpp/probes/D1.1.txt,--api-key exists but OFF by default (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ggml-org/llama.cpp docs,runs_v7
llamacpp,D3.2,N_A,HIGH,runs_v7/llamacpp/probes/D1.1.txt,no model pull/load endpoint by default,runs_v7
llamacpp,D5.1,SECURE,LOW,runs_v7/llamacpp/probes/D5.1.txt,request chat_template ignored/rejected (400); benign SSTI not evaluated server-side,runs_v7
llamacpp,D7.1,INSECURE,LOW,runs_v7/llamacpp/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/ggml-org/llama.cpp docs",runs_v7
llamacpp,D7.2,INSECURE,HIGH,runs_v7/llamacpp/probes/D1.1.txt,"gap score = 7: 7 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D4.1, D4.2, D5.3)",runs_v7
localai,D1.1,INSECURE,HIGH,runs_v7/localai/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
localai,D1.2,INSECURE,LOW,runs_v7/localai/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ localai.io/basics/getting_started,runs_v7
localai,D2.2,WARNS,LOW,runs_v7/localai/probes/D1.1.txt,API keys via config exist but OFF by default (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ localai.io/basics/getting_started,runs_v7
